"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10","genre_11","genre_12","genre_13"
"1","MOLOTOV","Lazza","SIRIO","2022","Spring",67,0.265,0.613,0.96,0,0.24,-4.343,0.0542,159.98,"5","0",160204,0.669,"4","6SQmh0L5icrThwGDTeLkg1","italian hip hop","italian pop","rap genovese","trap italiana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Alcool & Acqua (feat. PSICOLOGI)","Bresh","ORO BLU","2022","Spring",60,0.198,0.703,0.706,0,0.121,-7.32,0.161,120.027,"8","1",171437,0.705,"4","4UpCWcaJdu26OxLwxd3baF","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Soli assieme","Nashley","Soli assieme","2021","Spring",51,0.473,0.621,0.616,0,0.554,-6.881,0.126,174.01,"4","1",162104,0.797,"4","6W8sIhqfWYgwzYvwRUQ9iG","italian hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Mon Amour - Remix","zzoilo","Mon Amour (Remix)","2021","Summer",81,0.122,0.748,0.761,6.56e-06,0.0984,-6.621,0.102,116.041,"2","1",179940,0.362,"4","5TMLavqGRKNxgzMBrVpC9R","latin pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Estate E Sto Qua","Cranio Randagio","COME IL RE LEONE","2018","Autumn",46,0.132,0.741,0.596,0,0.111,-7.239,0.145,82.026,"9","0",219506,0.343,"4","24VPqE1o9anleLDbaLAvE5","italian hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Andrea","Bresh","Andrea","2022","Winter",46,0.281,0.367,0.596,0,0.125,-8.04,0.118,175.658,"11","0",185125,0.325,"3","03j2Lo97VCDprSk8oLb8Gi","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LA STREGA DEL FRUTTETO (feat. chiello & Madame)","Sick Luke","LA STREGA DEL FRUTTETO (feat. chiello & Madame)","2021","Autumn",37,0.212,0.776,0.838,0,0.31,-5.919,0.0538,120.015,"9","1",185031,0.672,"4","6rJ9urIYzdm6JObJzYTIbL","italian hip hop","trap italiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","5 Gocce (feat. Rkomi)","Irama","Il giorno in cui ho smesso di pensare","2022","Winter",68,0.279,0.742,0.808,9.85e-06,0.325,-5.206,0.059,74.992,"4","1",160000,0.846,"4","3z0GeNGWyVduziP1cQ0mFN","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","FORTUNA","Ghali","Sensazione ultra","2022","Spring",49,0.00569,0.708,0.767,2.49e-05,0.119,-5.687,0.05,154.986,"8","0",165866,0.776,"4","0b53fWGqxHfsdyzkwlEFFl","italian hip hop","italian pop","milan indie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Il meglio di te","Bresh","Il meglio di te","2022","Summer",53,0.104,0.722,0.592,9.89e-06,0.293,-6.161,0.0805,81.989,"4","0",157013,0.552,"4","2eTXrwuncNqUOAxw2YJ8lv","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","PIOVE (feat. Sfera Ebbasta)","Lazza","SIRIO","2022","Spring",69,0.232,0.381,0.627,0,0.0803,-5.446,0.114,187.835,"4","0",155862,0.458,"5","6BUueuMQR4k7CuoMEsnGou","italian hip hop","italian pop","rap genovese","trap italiana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Petrolio","Cranio Randagio","Love & Feelings","2016","Spring",43,0.0862,0.655,0.777,0,0.104,-6.931,0.234,82.692,"9","1",244986,0.561,"4","4cIhVpYKR5i33FVLIZH59k","italian hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Dove vai?","chiello","Dove vai?","2022","Summer",38,0.332,0.624,0.742,0,0.162,-6.353,0.0752,151.93,"8","1",176318,0.85,"4","0e3n1N8wVe7FeGA5v0TNTJ","italian hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","MOSAICI (feat. Gaia & Carl Brave)","Sick Luke","X2","2022","Winter",42,0.172,0.673,0.538,0,0.11,-7.092,0.0651,138.141,"5","0",199115,0.452,"4","3Jm3tqkbHKfXlfwayEF38h","italian hip hop","trap italiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
